mode;asymptomatic;elders;schools;masks
racine;asymptomatique;aîné;école;masque
racine;symptôm;ainé;Enfant;
racine;symptom;âgé;;
racine;asympto;agé;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
racine;;;;
complet;asymptomatique;aînés;École;masque
complet;asymptomatiques;aîné;écoles;masques
complet;symptomatique;;enfant;
complet;symptome;;Enfant;
complet;symptômes;;;
complet;Symptôme;;;
complet;symptomes;;;
complet;;;;
complet;;;;
complet;;;;
complet;;;;
complet;;;;
complet;;;;
complet;;;;
complet;;;;
complet;;;;
lemmes;asymptomatique;Personne agée;école;masque
lemmes;asymptomatiques;Personnes âgées;écoles;masques
lemmes;symptomatique;aînés;enfant;couvre visage
lemmes;symptome;;enfants;
lemmes;symptômes;;;
lemmes;Symptôme;;;
lemmes;symptomes;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
lemmes;;;;
token;asymptomatique;Personne âgée;école;masque
token;asymptomatiques;Personnes âgées;écoles;masques
token;symptomatique;aînés;enfant;couvre visage
token;symptome;;enfants;
token;symptômes;;;
token;Symptôme;;;
token;symptomes;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;
token;;;;